IMF Credit Outstanding  for all members from 1984 - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in SDRs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Year,GRA Purchases,PRGT 1/2/,Totals,Global GDP,IMF loans as a percentage of global GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2022,2022,91088136681.00,15386591496.00,106474728177.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021,2021,89474552025.00,14554823681.00,104029375706.00,9.61E+13,0.10825105875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2020,2020,93408630285.00,12481816684.00,105890446969.00,8.49E+13,0.12471374138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2019,2019,66945509865.00,6590835450.00,73536345315.00,8.77E+13,0.08389493709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2018,2018,55395611392.00,6426181029.00,61821792421.00,8.64E+13,0.07154223603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2017,2017,39585385873.00,6522280669.00,46107666542.00,8.14E+13,0.05664054167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2016,2016,49267630851.00,6482647937.00,55750278788.00,7.65E+13,0.07290896663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2015,2015,50757840741.00,6575911158.00,57333751899.00,7.52E+13,0.07626268388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2014,2014,69041563463.00,6292755583.00,75334319046.00,7.97E+13,0.09451192220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2013,2013,83899249061.00,6174392682.00,90073641743.00,7.76E+13,0.11606351182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
