quote_date,region,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO,obs,year,month,quarter,_merge,regionDesc,country,mergeregion
202110,2,610231,220.25,249.5,217,177.5,405,01/10/2021,01/10/2021,123103,2021,10,4,matched (3),London,England,matched (3)
201601,2,610231,159.5809,160,145,130,336,01/01/2016,01/01/2016,115217,2016,1,1,matched (3),London,England,matched (3)
201602,2,610231,162.0325,162.5,149.995,137,337,01/02/2016,01/02/2016,111438,2016,2,1,matched (3),London,England,matched (3)
200903,2,610231,127.4883,149.44,120.75,93.15,254,01/03/2009,01/03/2009,97144,2009,3,1,matched (3),London,England,matched (3)
201204,2,610231,138.184,160,130,108,291,01/04/2012,01/04/2012,111722,2012,4,2,matched (3),London,England,matched (3)
201104,2,610231,131.4,160,131,100.8,279,01/04/2011,01/04/2011,110135,2011,4,2,matched (3),London,England,matched (3)
202004,2,610231,206.9833,234,186,160.5,387,01/04/2020,01/04/2020,74251,2020,4,2,matched (3),London,England,matched (3)
201804,2,610231,170.36,180,167.3,144,363,01/04/2018,01/04/2018,126219,2018,4,2,matched (3),London,England,matched (3)
202208,2,610231,228.6154,269,230,192,415,01/08/2022,01/08/2022,125392,2022,8,3,matched (3),London,England,matched (3)
202003,2,610231,193.9818,216,180,159,386,01/03/2020,01/03/2020,118933,2020,3,1,matched (3),London,England,matched (3)
200706,2,610231,108.729,135.47,99.875,84.125,233,01/06/2007,01/06/2007,104456,2007,6,2,matched (3),London,England,matched (3)
200701,2,610231,108.8835,130,105.75,82.25,228,01/01/2007,01/01/2007,94734,2007,1,1,matched (3),London,England,matched (3)
201407,2,610231,168.666,174,144,129,318,01/07/2014,01/07/2014,110263,2014,7,3,matched (3),London,England,matched (3)
202206,2,610231,225,259.5,217,186,413,01/06/2022,01/06/2022,127526,2022,6,2,matched (3),London,England,matched (3)
200909,2,610231,128.8722,155.25,129,93.15,260,01/09/2009,01/09/2009,102020,2009,9,3,matched (3),London,England,matched (3)
201107,2,610231,132.9913,163,126,100,282,01/07/2011,01/07/2011,110938,2011,7,3,matched (3),London,England,matched (3)
201010,2,610231,135.1167,160,130,100,273,01/10/2010,01/10/2010,109466,2010,10,4,matched (3),London,England,matched (3)
200409,2,610231,87.96625,107.875,88.06,62.29,200,01/09/2004,01/09/2004,104170,2004,9,3,matched (3),London,England,matched (3)
201505,2,610231,160.4158,164,147.5,137,328,01/05/2015,01/05/2015,116093,2015,5,2,matched (3),London,England,matched (3)
200907,2,610231,132.8885,155.25,132.25,100,258,01/07/2009,01/07/2009,100430,2009,7,3,matched (3),London,England,matched (3)
201009,2,610231,133.7493,159.9,129.625,100,272,01/09/2010,01/09/2010,108500,2010,9,3,matched (3),London,England,matched (3)
202007,2,610231,210.2,230,180,165,390,01/07/2020,01/07/2020,102371,2020,7,3,matched (3),London,England,matched (3)
200704,2,610231,110.6086,135.13,105.75,86,231,01/04/2007,01/04/2007,101168,2007,4,2,matched (3),London,England,matched (3)
200605,2,610231,100.4055,141,90,70.5,220,01/05/2006,01/05/2006,109228,2006,5,2,matched (3),London,England,matched (3)
200902,2,610231,127.9165,144.72,120.32,97.585,253,01/02/2009,01/02/2009,91764,2009,2,1,matched (3),London,England,matched (3)
200405,2,610231,89.47166,99.66,88.06,62.29,196,01/05/2004,01/05/2004,107319,2004,5,2,matched (3),London,England,matched (3)
201702,2,610231,167.6667,186,160,127,349,01/02/2017,01/02/2017,114063,2017,2,1,matched (3),London,England,matched (3)
201412,2,610231,164.5327,174,144,129,323,01/12/2014,01/12/2014,111959,2014,12,4,matched (3),London,England,matched (3)
201409,2,610231,162.2347,168,144,129,320,01/09/2014,01/09/2014,111704,2014,9,3,matched (3),London,England,matched (3)
202002,2,610231,196.58,216,186,159,385,01/02/2020,01/02/2020,126570,2020,2,1,matched (3),London,England,matched (3)
201809,2,610231,163.156,180,152,135,368,01/09/2018,01/09/2018,124265,2018,9,3,matched (3),London,England,matched (3)
201807,2,610231,175.5964,204,160,135,366,01/07/2018,01/07/2018,124520,2018,7,3,matched (3),London,England,matched (3)
200512,2,610231,101.14,125,90,70,215,01/12/2005,01/12/2005,109077,2005,12,4,matched (3),London,England,matched (3)
