Cost £,dateStata,dateISO,region
5.0064,jan-jul,jan-jul,London
18.2219,jan-jul,jan-jul,South East (England)
13.24,jan-jul,jan-jul,South West (England)
15.8384,jan-jul,jan-jul,East
7.4311,jan-jul,jan-jul,East Midlands (England)
7.1409,jan-jul,jan-jul,West Midlands (England)
5.6857,jan-jul,jan-jul,Yorkshire and The Humber
21.4921,jan-jul,jan-jul,North West (England)
48,jan-jul,jan-jul,North East (England)
47.525,jan-jul,jan-jul,Wales
27.795,jan-jul,jan-jul,Scotland
27.31,jan-jul,jan-jul,Northern Ireland
