Cost £,dateStata,dateISO,region
223.9167,01/01/2022,01/01/2022,London
202.1858,01/01/2022,01/01/2022,South East (England)
159.75,01/01/2022,01/01/2022,South West (England)
194.4271,01/01/2022,01/01/2022,East
163.7878,01/01/2022,01/01/2022,East Midlands (England)
147.2173,01/01/2022,01/01/2022,West Midlands (England)
155.2143,01/01/2022,01/01/2022,Yorkshire and The Humber
167.619,01/01/2022,01/01/2022,North West (England)
156,01/01/2022,01/01/2022,North East (England)
113.875,01/01/2022,01/01/2022,Wales
141.88,01/01/2022,01/01/2022,Scotland
137.69,01/01/2022,01/01/2022,Northern Ireland
