Cost £,dateStata,dateISO,region
228.9231,01/07/2022,01/07/2022,London
220.4077,01/07/2022,01/07/2022,South East (England)
172.99,01/07/2022,01/07/2022,South West (England)
210.2655,01/07/2022,01/07/2022,	East
171.2189,01/07/2022,01/07/2022,East Midlands (England)
154.3582,01/07/2022,01/07/2022,West Midlands (England)
160.9,01/07/2022,01/07/2022,Yorkshire and The Humber
189.1111,01/07/2022,01/07/2022,North West (England)
204,01/07/2022,01/07/2022,North East (England)
161.4,01/07/2022,01/07/2022,Wales
169.675,01/07/2022,01/07/2022,Scotland
165,01/07/2022,01/07/2022,Northern Ireland
