Tested,Predicted
2.549821,1.443207
0.138887,0.1775724
0,0.03023717
0.027023,0.03551797
0.001559,0.02221987
0.053947,0.27843859
0.288273,0.80343574
0.156794,0.24314099
0.006362,0.07302128
0.000087,0
0.083778,0.14511176
0.054237,0.18007314
0,0.05873007
2.287887,0.72812653
0.004031,0.07597447
0.014465,0.10212788
0.001,0.06820387
0.223801,0.43249357
0.35814,0.17740798
0.004926,0.04334562
0.019525,0.29594836
0.002947,0.06366559
0.584412,0.49086148
0.005028,0.09932351
0.003608,0.08545516
0.092383,0.36008365
0,0.07473152
0.023556,0
0.00905,0.07738783
0.151123,0.05804372
0.007967,0.18914453
0.002476,0.32126472
0.000765,0.06093164
0.452729,0.232841
0,0
0.028737,0
0.065385,0.22405909
0.049315,0.20093114
0,0
0.791723,0.50421959
0.02806,0
0.015851,0.08914269
0.6152,0..4277004
,
,
