Cost £,dateStata,dateISO,region
,,,
7.1125,01/01/2022,01/01/2022,London
,,,
5.7905,01/01/2022,01/01/2022,South East (England)
,,,
4.805555,01/01/2022,01/01/2022,South West (England)
,,,
4.825,01/01/2022,01/01/2022,East 
,,,
3.777778,01/01/2022,01/01/2022,East Midlands (England)
,,,
4.17,01/01/2022,01/01/2022,West Midlands (England)
,,,
4.3625,01/01/2022,01/01/2022,Yorkshire and The Humber
,,,
9.633,01/01/2022,01/01/2022,North West (England)
,,,
4.658333,01/01/2022,01/01/2022,North East (England)
,,,
5.166667,01/01/2022,01/01/2022,Wales
,,,
4.414546,01/01/2022,01/01/2022,Scotland
,,,
4.154,01/01/2022,01/01/2022,Northern Ireland
