Cost £,dateStata,dateISO,region
,,,
10.20278,01/01/2022,01/01/2022,London
,,,
6.093,01/01/2022,01/01/2022,South East (England)
,,,
5.368182,01/01/2022,01/01/2022,South West (England)
,,,
5.133846,01/01/2022,01/01/2022,East
,,,
3.866667,01/01/2022,01/01/2022,East Midlands (England)
,,,
4.922222,01/01/2022,01/01/2022,West Midlands (England)
,,,
5.483636,01/01/2022,01/01/2022,Yorkshire and The Humber
,,,
6.177778,01/01/2022,01/01/2022,North West (England)
,,,
4.666667,01/01/2022,01/01/2022,North East (England)
,,,
5.25,01/01/2022,01/01/2022,Wales
,,,
4.664166,01/01/2022,01/01/2022,Scotland
,,,
5.378,01/01/2022,01/01/2022,Northern Ireland
