,city,lat,lng,cluster_cities
0,Delhi,28.66,77.23,2
1,Mumbai,18.9667,72.8333,5
2,Kolkāta,22.5411,88.3378,3
3,Bangalore,12.9699,77.598,4
4,Chennai,13.0825,80.275,4
5,Hyderābād,17.3667,78.4667,1
6,Pune,18.5196,73.8553,5
7,Ahmadābād,23.03,72.58,5
8,Sūrat,21.17,72.83,5
9,Lucknow,26.847,80.947,2
10,Jaipur,26.9167,75.8667,2
11,Cawnpore,26.4725,80.3311,2
12,Mirzāpur,25.15,82.58,0
13,Nāgpur,21.1539,79.0831,0
14,Ghāziābād,28.6667,77.4167,2
15,Indore,22.7206,75.8472,5
16,Vadodara,22.3,73.2,5
17,Visakhapatnam,17.7333,83.3167,0
18,Bhopāl,23.25,77.4167,5
19,Chinchvad,18.6278,73.8131,5
20,Patna,25.61,85.1414,0
21,Ludhiāna,30.9083,75.8486,2
22,Āgra,27.18,78.02,2
23,Kalyān,19.2502,73.1602,5
24,Madurai,9.9197,78.1194,4
25,Jamshedpur,22.8,86.1833,3
26,Nashik,20.0,73.7833,5
27,Farīdābād,28.4333,77.3167,2
28,Aurangābād,19.88,75.32,5
29,Rājkot,22.2969,70.7984,5
30,Meerut,28.99,77.7,2
31,Jabalpur,23.1667,79.9333,0
32,Thāne,19.18,72.9633,5
33,Dhanbād,23.7928,86.435,3
34,Allahābād,25.455,81.84,0
35,Vārānasi,25.3189,83.0128,0
36,Srīnagar,34.0911,74.8061,2
37,Amritsar,31.6167,74.85,2
38,Alīgarh,27.88,78.08,2
39,Bhiwandi,19.3,73.0667,5
40,Gwalior,26.215,78.1931,2
41,Bhilai,21.2167,81.4333,0
42,Hāora,22.59,88.31,3
43,Rānchi,23.3556,85.3347,0
44,Bezwāda,16.5167,80.6167,1
45,Chandīgarh,30.7353,76.7911,2
46,Mysore,12.3086,76.6531,4
47,Raipur,21.2379,81.6337,0
48,Kota,25.18,75.83,2
49,Bareilly,28.364,79.415,2
50,Jodhpur,26.2918,73.0168,5
51,Coimbatore,11.0,76.9667,4
52,Dispur,26.15,91.77,3
53,Guwāhāti,26.1667,91.7667,3
54,Solāpur,17.6833,75.9167,1
55,Trichinopoly,10.8269,78.6928,4
56,Hubli,15.36,75.125,1
57,Jalandhar,31.3256,75.5792,2
58,Bhubaneshwar,20.2644,85.8281,0
59,Bhayandar,19.3,72.85,5
60,Morādābād,28.8418,78.7568,2
61,Kolhāpur,16.7,74.2333,1
62,Thiruvananthapuram,8.5,76.8997,4
63,Sahāranpur,29.964,77.546,2
64,Warangal,17.9756,79.6011,1
65,Salem,11.65,78.1667,4
66,Mālegaon,20.55,74.55,5
67,Kochi,9.9667,76.2833,4
68,Gorakhpur,26.7611,83.3667,0
69,Shimoga,13.9304,75.56,4
70,Tiruppūr,11.1075,77.3398,4
71,Guntūr,16.3,80.45,1
72,Raurkela,22.2492,84.8828,0
73,Mangalore,12.8703,74.8806,4
74,Nānded,19.15,77.3333,1
75,Cuttack,20.45,85.8667,0
76,Chānda,19.95,79.3,1
77,Dehra Dūn,30.318,78.029,2
78,Durgāpur,23.55,87.32,3
79,Āsansol,23.6833,86.9667,3
80,Bhāvnagar,21.765,72.1369,5
81,Amrāvati,20.9333,77.75,1
82,Nellore,14.4333,79.9667,1
83,Ajmer,26.468,74.639,2
84,Tinnevelly,8.7289,77.7081,4
85,Bīkaner,28.0181,73.3169,2
86,Agartala,23.8333,91.2667,3
87,Ujjain,23.1828,75.7772,5
88,Jhānsi,25.4486,78.5696,2
89,Ulhāsnagar,19.2167,73.15,5
90,Davangere,14.4667,75.9167,1
91,Jammu,32.7333,74.85,2
92,Belgaum,15.8667,74.5,1
93,Gulbarga,17.3333,76.8333,1
94,Jāmnagar,22.47,70.07,5
95,Dhūlia,20.9,74.7833,5
96,Gaya,24.75,85.0167,0
97,Jalgaon,21.0167,75.5667,5
98,Kurnool,15.8222,78.035,1
99,Udaipur,24.5833,73.6833,5
100,Bellary,15.15,76.915,1
101,Sāngli,16.8667,74.5667,1
102,Tuticorin,8.7833,78.1333,4
103,Calicut,11.25,75.7667,4
104,Akola,20.7333,77.0,5
105,Bhāgalpur,25.25,87.0167,3
