,country,pop2023,pWaste2016,cluster_countries
0,Philippines,117337368.0,1543668.0,2
1,India,1428627663.0,26327933.0,1
2,Malaysia,34308525.0,2058501.0,0
3,China,1425671352.0,21599465.0,1
4,Indonesia,277534122.0,9128000.0,2
5,Brazil,216422446.0,10675989.0,2
6,Vietnam,98858950.0,1404873.0,2
7,Bangladesh,172954319.0,764951.0,2
8,Thailand,71801279.0,4796494.0,0
9,Nigeria,223804632.0,1659502.0,2
10,Cameroon,28647293.0,119518.0,0
11,Sri Lanka,21893579.0,180701.0,0
12,Guatemala,18092026.0,488396.0,0
13,Haiti,11724763.0,293351.0,0
14,Dominican Republic,11332972.0,420276.0,0
15,Venezuela,28838499.0,1160801.0,0
16,Tanzania,67438106.0,814511.0,0
17,Algeria,45606480.0,2092007.0,0
18,Panama,4468087.0,181993.0,0
19,Ivory Coast,28873034.0,541453.0,0
20,South Africa,60414495.0,1425323.0,0
21,Ghana,34121985.0,211518.0,0
22,Argentina,45773884.0,2656771.0,0
23,Sierra Leone,8791092.0,62190.0,0
24,Trinidad and Tobago,1534937.0,140174.0,0
25,Mexico,128455567.0,5902490.0,2
26,Papua New Guinea,10329931.0,105241.0,0
27,Liberia,5418377.0,54221.0,0
28,Myanmar,54577997.0,856961.0,0
29,Mozambique,33897354.0,198365.0,0
30,Egypt,112716598.0,3037675.0,2
31,Honduras,10593798.0,311548.0,0
32,United States,339996563.0,34020748.0,2
33,Guinea,14190612.0,37647.0,0
34,Jamaica,2825544.0,128307.0,0
35,Japan,123294513.0,4881161.0,2
36,Morocco,37840044.0,570102.0,0
37,Suriname,623236.0,9087.0,0
38,Benin,13712828.0,102301.0,0
39,Albania,2832439.0,113099.0,0
40,Nicaragua,7046310.0,205548.0,0
41,Guyana,813834.0,28750.0,0
42,Ecuador,18190484.0,607148.0,0
43,Cambodia,16944826.0,99748.0,0
44,Uruguay,3423108.0,139881.0,0
45,Iran,89172767.0,1500585.0,0
46,Libya,6888388.0,181482.0,0
47,Pakistan,240485658.0,2731768.0,2
48,Angola,36684202.0,651928.0,0
49,Ukraine,36744634.0,1053523.0,0
50,El Salvador,6364943.0,178687.0,0
51,Madagascar,30325732.0,282657.0,0
52,Timor-Leste,1360596.0,10539.0,0
53,United Kingdom,67736802.0,6471650.0,0
54,Tunisia,12458223.0,303846.0,0
55,Lebanon,5353930.0,247112.0,0
56,Republic of the Congo,6106869.0,87635.0,0
57,Russia,144444359.0,8467156.0,2
58,Taiwan,23923276.0,1392828.0,0
59,Costa Rica,5212173.0,167858.0,0
60,Saint Lucia,180251.0,17239.0,0
61,Gabon,2436566.0,39585.0,0
62,Togo,9053799.0,116946.0,0
63,Colombia,52085168.0,1728873.0,0
64,Gambia,2773168.0,22631.0,0
65,DR Congo,102262808.0,1078892.0,2
66,Italy,58870762.0,3365130.0,0
67,Equatorial Guinea,1714671.0,19447.0,0
68,South Korea,51784059.0,4514186.0,0
69,Belize,410825.0,19464.0,0
70,Fiji,936375.0,15471.0,0
71,Macau,704149.0,29857.0,0
72,Chile,19629590.0,707903.0,0
73,Netherlands,17618299.0,1251114.0,0
74,Kenya,55100586.0,1279843.0,0
75,Peru,34352719.0,919222.0,0
