Industry,Value,Plastic,,
Construction,65,Primary plastic production ,,
Consumer Products,42,Primary plastic production ,,
Electrical/Electronic,18,Primary plastic production ,,
Other sectors,47,Primary plastic production ,,
Packaging,146,Primary plastic production ,,
Textiles,59,Primary plastic production ,,
Transportation,27,Primary plastic production ,,
Construction,13,Primary plastic waste generation ,,
Consumer Products,37,Primary plastic waste generation ,,
Electrical/Electronic,13,Primary plastic waste generation ,,
Other sectors,38,Primary plastic waste generation ,,
Packaging,141,Primary plastic waste generation ,,
Textiles,42,Primary plastic waste generation ,,
Transportation,17,Primary plastic waste generation ,,
