,country,Code,Year,Mismanaged plastic waste to ocean per capita (kg per year),Mismanaged plastic waste per capita (kg per year),Per capita plastic waste (kg/person/day)
0,Africa,,2019.0,0.059822761,10.46592827,
1,Albania,ALB,2019.0,0.543214162,24.23915307,0.069
2,Algeria,DZA,2019.0,0.134113767,17.75899473,0.144
3,Angola,AGO,2019.0,0.027022781,7.445278869,0.062
4,Antigua and Barbuda,ATG,2019.0,0.020618557,6.463917526,0.66
5,Argentina,ARG,2019.0,0.09238293,10.40191152,0.183
6,Asia,,2019.0,0.172404698,8.667235444,
7,Australia,AUS,2019.0,0.00126969,0.20894338,0.112
8,Bahamas,BHS,2019.0,0.051413882,5.686375321,0.39
9,Bahrain,BHR,2019.0,0.0,0.635588056,0.132
10,Bangladesh,BGD,2019.0,0.151122996,6.268108387,0.034
11,Barbados,BRB,2019.0,0.156794425,3.038327526,0.57
12,Belgium,BEL,2019.0,0.002946529,0.19793743,0.08
13,Belize,BLZ,2019.0,0.958974359,15.43846154,0.172
14,Benin,BEN,2019.0,0.138886535,11.29861876,0.043
15,Bosnia and Herzegovina,BIH,2019.0,0.001817631,16.82853681,0.144
16,Brazil,BRA,2019.0,0.179099739,15.62046908,0.165
17,Brunei,BRN,2019.0,0.309468822,1.598152425,0.026
18,Bulgaria,BGR,2019.0,0.001,0.445285714,0.154
19,Burkina Faso,BFA,2019.0,0.0,15.61429064,
20,Cambodia,KHM,2019.0,0.067507733,15.01152423,0.066
21,Cameroon,CMR,2019.0,0.412389859,22.36814036,0.046
22,Canada,CAN,2019.0,0.006361765,0.630483013,0.093
23,Cape Verde,CPV,2019.0,0.0,6.487272727,0.065
24,Chile,CHL,2019.0,0.016990291,1.623417054,0.119
25,China,CHN,2019.0,0.049314957,8.559308412,0.121
26,Colombia,COL,2019.0,0.00856195,1.697570472,0.144
27,Comoros,COM,2019.0,0.0,69.51586369,0.201
28,Congo,COG,2019.0,0.125627207,12.13361829,0.069
29,Costa Rica,CRI,2019.0,0.089144216,1.139263074,0.258
30,Cote d'Ivoire,CIV,2019.0,0.186024808,11.33934751,0.103
31,Croatia,HRV,2019.0,0.054237288,4.247941889,0.252
32,Cyprus,CYP,2019.0,0.002502085,0.698081735,0.248
33,Democratic Republic of Congo,COD,2019.0,0.004839211,15.78193592,0.045
34,Denmark,DNK,2019.0,0.001559252,0.067567568,0.047
35,Djibouti,DJI,2019.0,0.004106776,10.56365503,0.103
36,Dominica,DMA,2019.0,0.736111111,15.02777778,0.149
37,Dominican Republic,DOM,2019.0,0.584411956,18.06667287,0.144
38,Ecuador,ECU,2019.0,0.065385058,6.262058248,0.147
39,Egypt,EGY,2019.0,0.024614496,14.29961748,0.178
40,El Salvador,SLV,2019.0,0.125193678,3.361171367,0.147
41,Equatorial Guinea,GNQ,2019.0,0.298672566,6.934365782,0.144
42,Eritrea,ERI,2019.0,0.013726051,24.0457535,0.045
43,Estonia,EST,2019.0,0.009049774,0.452488688,0.176
44,Europe,,2019.0,0.007805317,1.580226046,
45,Fiji,FJI,2019.0,0.41011236,4.334831461,0.189
46,Finland,FIN,2019.0,0.0,0.473788865,0.234
47,France,FRA,2019.0,0.003608168,0.426531552,0.192
48,French Guiana,GUF,2019.0,0.024054983,0.432989691,0.144
49,Gabon,GAB,2019.0,0.20478601,2.757017948,0.054
50,Gambia,GMB,2019.0,0.179301533,14.9467632,0.048
51,Georgia,GEO,2019.0,0.000750563,0.076807606,0.068
52,Germany,DEU,2019.0,0.001604464,0.606774669,0.485
53,Ghana,GHA,2019.0,0.13758301,17.09520679,0.04
54,Greece,GRC,2019.0,0.020624463,0.430249212,0.2
55,Grenada,GRD,2019.0,1.160714286,12.11607143,0.325
56,Guadeloupe,GLP,2019.0,0.01,0.405,0.144
57,Guatemala,GTM,2019.0,0.406234003,17.68972186,0.28
58,Guinea,GIN,2019.0,0.183775742,11.58852087,0.03
59,Guinea-Bissau,GNB,2019.0,0.128578865,10.65330557,0.054
60,Guyana,GUY,2019.0,1.591315453,35.20434227,0.586
61,Haiti,HTI,2019.0,0.615200213,21.12829619,0.09
62,Honduras,HND,2019.0,0.249948697,14.97999179,0.189
63,Hong Kong,HKG,2019.0,0.015061861,0.777434104,0.398
64,Iceland,ISL,2019.0,0.0,0.445427729,0.281
65,India,IND,2019.0,0.092587331,9.509608,0.01
66,Indonesia,IDN,2019.0,0.208158135,3.045657286,0.057
67,Iran,IRN,2019.0,0.01119232,5.981679813,0.144
68,Iraq,IRQ,2019.0,0.001704401,12.51007377,0.103
69,Ireland,IRL,2019.0,0.02355592,0.547931176,0.43
70,Israel,ISR,2019.0,0.003873694,0.711351098,0.297
71,Italy,ITA,2019.0,0.006837325,0.640842279,0.134
72,Jamaica,JAM,2019.0,0.791723202,16.84972863,0.034
73,Japan,JPN,2019.0,0.014464764,0.281286458,0.171
74,Jordan,JOR,2019.0,9.9e-05,12.31686795,0.144
75,Kazakhstan,KAZ,2019.0,0.000700771,2.92393941,
76,Kenya,KEN,2019.0,0.004926389,5.514455815,0.027
77,Kiribati,KIR,2019.0,0.0,0.627118644,0.103
78,Kuwait,KWT,2019.0,0.001663894,0.627525553,0.686
79,Latvia,LVA,2019.0,0.004719455,0.500786576,0.124
80,Lebanon,LBN,2019.0,0.099766628,6.800175029,0.094
81,Lesotho,LSO,2019.0,0.0,14.30164706,
82,Liberia,LBR,2019.0,0.534332591,8.087907636,0.084
83,Libya,LBY,2019.0,0.129703409,27.81983178,0.144
84,Lithuania,LTU,2019.0,0.002536232,0.375724638,0.132
85,Madagascar,MDG,2019.0,0.028736698,0.936260151,0.016
86,Malaysia,MYS,2019.0,2.287887324,25.491518,0.198
87,Maldives,MDV,2019.0,0.0,0.11299435,0.322
88,Malta,MLT,2019.0,0.0,0.588636364,0.214
89,Marshall Islands,MHL,2019.0,0.0,0.271186441,0.192
90,Martinique,MTQ,2019.0,0.058510638,0.369680851,0.252
91,Mauritania,MRT,2019.0,0.028060097,4.594785683,0.045
92,Mauritius,MUS,2019.0,0.0,0.235433071,0.23
93,Mexico,MEX,2019.0,0.027528689,3.375352731,0.087
94,Monaco,MCO,2019.0,0.0,0.128205128,0.252
95,Montenegro,MNE,2019.0,0.0,0.025477707,0.144
96,Morocco,MAR,2019.0,0.049352928,8.101776705,0.073
97,Mozambique,MOZ,2019.0,0.08377791,14.30652704,0.015
98,Myanmar,MMR,2019.0,0.047071885,8.038338422,0.075
99,Namibia,NAM,2019.0,0.000801603,8.373547094,0.144
100,Netherlands,NLD,2019.0,0.015850734,0.890975025,0.424
101,New Zealand,NZL,2019.0,0.014217019,0.358352498,0.331
102,Nicaragua,NIC,2019.0,0.223800794,16.93583868,0.143
103,Nigeria,NGA,2019.0,0.092752931,9.698005613,0.103
104,North America,,2019.0,0.120204257,5.257716269,
105,North Korea,PRK,2019.0,0.001948103,0.01254578,0.054
106,Norway,NOR,2019.0,0.0,0.277746793,0.28
107,Oceania,,2019.0,0.086189708,3.240267755,
108,Oman,OMN,2019.0,0.000201005,0.251457286,0.084
109,Pakistan,PAK,2019.0,0.004031122,6.21734837,0.103
110,Palau,PLW,2019.0,0.388888889,6.444444444,0.144
111,Palestine,PSE,2019.0,0.023690022,0.427424212,0.063
112,Panama,PAN,2019.0,1.233396138,8.558407913,0.145
113,Papua New Guinea,PNG,2019.0,0.348564266,13.62101185,0.103
114,Peru,PER,2019.0,0.007966779,4.315995078,0.144
