,Scenario,Plastics end of life fates,Time,Value
0,Baseline,Recycled,2019,32.829025
1,Baseline,Recycled,2020,34.292332
2,Baseline,Recycled,2021,36.093431
3,Baseline,Recycled,2022,38.08389
4,Baseline,Recycled,2023,40.085463
5,Baseline,Recycled,2024,42.068664
6,Baseline,Recycled,2025,44.10193
7,Baseline,Recycled,2026,46.255233
8,Baseline,Recycled,2027,48.539508
9,Baseline,Recycled,2028,50.958712
10,Baseline,Recycled,2029,53.499884
11,Baseline,Recycled,2030,56.154157
12,Baseline,Recycled,2031,58.919139
13,Baseline,Recycled,2032,61.787532
14,Baseline,Recycled,2033,64.755392
15,Baseline,Recycled,2034,67.828362
16,Baseline,Recycled,2035,70.999054
17,Baseline,Recycled,2036,74.261519
18,Baseline,Recycled,2037,77.62819
19,Baseline,Recycled,2038,81.08795
20,Baseline,Recycled,2039,84.639964
21,Baseline,Recycled,2040,88.279776
22,Baseline,Recycled,2041,92.003966
23,Baseline,Recycled,2042,95.819973
24,Baseline,Recycled,2043,99.697463
25,Baseline,Recycled,2044,103.637011
26,Baseline,Recycled,2045,107.651509
27,Baseline,Recycled,2046,111.739368
28,Baseline,Recycled,2047,115.901549
29,Baseline,Recycled,2048,120.152674
30,Baseline,Recycled,2049,124.486586
31,Baseline,Recycled,2050,128.916414
32,Baseline,Recycled,2051,133.396075
33,Baseline,Recycled,2052,137.890285
34,Baseline,Recycled,2053,142.471998
35,Baseline,Recycled,2054,147.067138
36,Baseline,Recycled,2055,151.759742
37,Baseline,Recycled,2056,156.415937
38,Baseline,Recycled,2057,161.156728
39,Baseline,Recycled,2058,165.997021
40,Baseline,Recycled,2059,170.951347
41,Baseline,Recycled,2060,175.943546
42,Baseline,Incinerated,2019,67.310995
43,Baseline,Incinerated,2020,68.044613
44,Baseline,Incinerated,2021,69.622477
45,Baseline,Incinerated,2022,71.548093
46,Baseline,Incinerated,2023,73.387813
47,Baseline,Incinerated,2024,75.072823
48,Baseline,Incinerated,2025,76.738725
49,Baseline,Incinerated,2026,78.484925
50,Baseline,Incinerated,2027,80.318298
51,Baseline,Incinerated,2028,82.239973
52,Baseline,Incinerated,2029,84.228266
53,Baseline,Incinerated,2030,86.273185
54,Baseline,Incinerated,2031,88.376911
55,Baseline,Incinerated,2032,90.539888
56,Baseline,Incinerated,2033,92.767561
57,Baseline,Incinerated,2034,95.06681
58,Baseline,Incinerated,2035,97.436164
59,Baseline,Incinerated,2036,99.870272
60,Baseline,Incinerated,2037,102.362189
61,Baseline,Incinerated,2038,104.907527
62,Baseline,Incinerated,2039,107.508992
63,Baseline,Incinerated,2040,110.163241
64,Baseline,Incinerated,2041,112.859293
65,Baseline,Incinerated,2042,115.609587
66,Baseline,Incinerated,2043,118.423259
67,Baseline,Incinerated,2044,121.301948
68,Baseline,Incinerated,2045,124.242107
69,Baseline,Incinerated,2046,127.24789
70,Baseline,Incinerated,2047,130.312666
71,Baseline,Incinerated,2048,133.450497
72,Baseline,Incinerated,2049,136.657409
73,Baseline,Incinerated,2050,139.945424
74,Baseline,Incinerated,2051,143.324916
75,Baseline,Incinerated,2052,146.826586
76,Baseline,Incinerated,2053,150.421454
77,Baseline,Incinerated,2054,154.121708
78,Baseline,Incinerated,2055,157.926069
79,Baseline,Incinerated,2056,161.890799
80,Baseline,Incinerated,2057,165.981648
81,Baseline,Incinerated,2058,170.193497
82,Baseline,Incinerated,2059,174.5374
83,Baseline,Incinerated,2060,179.090432
84,Baseline,Landfilled,2019,173.864438
85,Baseline,Landfilled,2020,177.008847
86,Baseline,Landfilled,2021,181.28284
87,Baseline,Landfilled,2022,186.576535
88,Baseline,Landfilled,2023,191.61849
89,Baseline,Landfilled,2024,196.472046
90,Baseline,Landfilled,2025,201.479657
91,Baseline,Landfilled,2026,206.869593
92,Baseline,Landfilled,2027,212.61582
93,Baseline,Landfilled,2028,218.666183
94,Baseline,Landfilled,2029,224.908682
95,Baseline,Landfilled,2030,231.296773
96,Baseline,Landfilled,2031,237.821378
97,Baseline,Landfilled,2032,244.521999
98,Baseline,Landfilled,2033,251.432886
99,Baseline,Landfilled,2034,258.593027
100,Baseline,Landfilled,2035,265.972835
101,Baseline,Landfilled,2036,273.56302
102,Baseline,Landfilled,2037,281.42105
103,Baseline,Landfilled,2038,289.311216
104,Baseline,Landfilled,2039,297.370214
105,Baseline,Landfilled,2040,305.596037
106,Baseline,Landfilled,2041,313.997537
107,Baseline,Landfilled,2042,322.588864
108,Baseline,Landfilled,2043,331.405184
109,Baseline,Landfilled,2044,340.423751
110,Baseline,Landfilled,2045,349.612341
111,Baseline,Landfilled,2046,358.967103
112,Baseline,Landfilled,2047,368.444487
113,Baseline,Landfilled,2048,378.09115
114,Baseline,Landfilled,2049,387.889948
115,Baseline,Landfilled,2050,397.821311
116,Baseline,Landfilled,2051,407.844793
117,Baseline,Landfilled,2052,418.024758
118,Baseline,Landfilled,2053,428.361469
119,Baseline,Landfilled,2054,438.903572
120,Baseline,Landfilled,2055,449.555616
121,Baseline,Landfilled,2056,460.465119
122,Baseline,Landfilled,2057,471.605425
123,Baseline,Landfilled,2058,482.95538
124,Baseline,Landfilled,2059,494.53569
125,Baseline,Landfilled,2060,506.527253
126,Baseline,Mismanaged,2019,79.286642
127,Baseline,Mismanaged,2020,80.636955
128,Baseline,Mismanaged,2021,81.716213
129,Baseline,Mismanaged,2022,83.099109
